extracted_dates,Statements,Cash Rate
2017-12-05,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-25
Date
5 December 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy have improved over 2017. Labour markets have tightened and further above-trend growth is expected in a number of advanced economies, although uncertainties remain. Growth in the Chinese economy continues to be supported by increased spending on infrastructure and property construction, although financial conditions have tightened somewhat as the authorities address the medium-term risks from high debt levels. Australia's terms of trade are expected to decline in the period ahead but remain at relatively high levels.
Wage growth remains low in most countries, as does core inflation. In a number of economies there has been some withdrawal of monetary stimulus, although financial conditions remain quite expansionary. Equity markets have been strong, credit spreads have narrowed over the course of the year and volatility in financial markets is low. Long-term bond yields remain low, notwithstanding the improvement in the global economy.
Recent data suggest that the Australian economy grew at around its trend rate over the year to the September quarter. The central forecast is for GDP growth to average around 3 per cent over the next few years. Business conditions are positive and capacity utilisation has increased. The outlook for non-mining business investment has improved further, with the forward-looking indicators being more positive than they have been for some time. Increased public infrastructure investment is also supporting the economy. One continuing source of uncertainty is the outlook for household consumption. Household incomes are growing slowly and debt levels are high.
Employment growth has been strong over 2017 and the unemployment rate has declined. Employment has been rising in all states and has been accompanied by a rise in labour force participation. The various forward-looking indicators continue to point to solid growth in employment over the period ahead. There are reports that some employers are finding it more difficult to hire workers with the necessary skills. However, wage growth remains low. This is likely to continue for a while yet, although the stronger conditions in the labour market should see some lift in wage growth over time.
Inflation remains low, with both CPI and underlying inflation running a little below 2 per cent. The Bank's central forecast remains for inflation to pick up gradually as the economy strengthens.
The Australian dollar remains within the range that it has been in over the past two years. An appreciating exchange rate would be expected to result in a slower pick-up in economic activity and inflation than currently forecast.
Growth in housing debt has been outpacing the slow growth in household income for some time. To address the medium-term risks associated with high and rising household indebtedness, APRA has introduced a number of supervisory measures. Credit standards have been tightened in a way that has reduced the risk profile of borrowers. Nationwide measures of housing prices are little changed over the past six months, with conditions having eased in Sydney. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases remain low in most cities.
The low level of interest rates is continuing to support the Australian economy. Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-11-07,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-23
Date
7 November 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy are continuing to improve. Labour markets have tightened and further above-trend growth is expected in a number of advanced economies, although uncertainties remain. Growth in the Chinese economy is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. Australia's terms of trade are expected to decline in the period ahead but remain at relatively high levels.
Wage growth remains low in most countries, as does core inflation. Headline inflation rates are generally lower than at the start of the year, largely reflecting the earlier decline in oil prices. In the United States, the Federal Reserve has started the process of balance sheet normalisation and expects to increase interest rates further. In a number of other major advanced economies, monetary policy has become a bit less accommodative. Equity markets have been strong, credit spreads have narrowed and volatility in financial markets remains low.
The Bank's forecasts for growth in the Australian economy are largely unchanged. The central forecast is for GDP growth to pick up and to average around 3 per cent over the next few years. Business conditions are positive and capacity utilisation has increased. The outlook for non-mining business investment has improved, with the forward-looking indicators being more positive than they have been for some time. Increased public infrastructure investment is also supporting the economy. One continuing source of uncertainty is the outlook for household consumption. Household incomes are growing slowly and debt levels are high.
The labour market has continued to strengthen. Employment has been rising in all states and has been accompanied by a rise in labour force participation. The various forward-looking indicators continue to point to solid growth in employment over the period ahead. The unemployment rate is expected to decline gradually from its current level of 5½ per cent. Wage growth remains low. This is likely to continue for a while yet, although the stronger conditions in the labour market should see some lift in wage growth over time.
Inflation remains low, with both CPI and underlying inflation running a little below 2 per cent. In underlying terms, inflation is likely to remain low for some time, reflecting the slow growth in labour costs and increased competitive pressures, especially in retailing. CPI inflation is being boosted by higher prices for tobacco and electricity. The Bank's central forecast remains for inflation to pick up gradually as the economy strengthens.
The Australian dollar has appreciated since mid year, partly reflecting a lower US dollar. The higher exchange rate is expected to contribute to continued subdued price pressures in the economy. It is also weighing on the outlook for output and employment. An appreciating exchange rate would be expected to result in a slower pick-up in economic activity and inflation than currently forecast.
Growth in housing debt has been outpacing the slow growth in household income for some time. To address the medium-term risks associated with high and rising household indebtedness, APRA has introduced a number of supervisory measures. Credit standards have been tightened in a way that has reduced the risk profile of borrowers. Housing market conditions have eased further in Sydney. In most cities, housing prices have shown little change over recent months, although they are still increasing in Melbourne. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases remain low in most cities.
The low level of interest rates is continuing to support the Australian economy. Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-10-03,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-21
Date
3 October 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy have improved. Labour markets have tightened and above-trend growth is expected in a number of advanced economies, although uncertainties remain. Growth in the Chinese economy is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. Australia's terms of trade are expected to decline in the period ahead but remain at relatively high levels.
Wage growth remains low in most countries, as does core inflation. Headline inflation rates are generally lower than at the start of the year, largely reflecting the earlier decline in oil prices. In the United States, the Federal Reserve has indicated that it will begin the process of balance sheet normalisation in October and that it expects to increase interest rates further. In the other major economies, there is no longer an expectation of additional monetary easing. Financial markets have been functioning effectively and volatility remains low.
The Australian economy expanded by 0.8 per cent in the June quarter. This outcome and other recent data are consistent with the Bank's expectation that growth in the Australian economy will gradually pick up over the coming year.
Over recent months there have been more consistent signs that non-mining business investment is picking up. A consolidation of this trend would be a welcome development. Business conditions as reported in surveys are at a high level and capacity utilisation has risen. A large pipeline of infrastructure investment is also supporting the outlook. Against this, slow growth in real wages and high levels of household debt are likely to constrain growth in household spending.
Employment has continued to grow strongly over recent months. Employment has increased in all states and has been accompanied by a rise in labour force participation. The various forward-looking indicators point to solid growth in employment over the period ahead, although the unemployment rate is expected to decline only gradually over the next couple of years.
Wage growth remains low. This is likely to continue for a while yet, although the stronger conditions in the labour market should see some lift in wage growth over time. Inflation also remains low and is expected to pick up gradually as the economy strengthens.
The Australian dollar has appreciated since mid year, partly reflecting a lower US dollar. The higher exchange rate is expected to contribute to continued subdued price pressures in the economy. It is also weighing on the outlook for output and employment. An appreciating exchange rate would be expected to result in a slower pick-up in economic activity and inflation than currently forecast.
Growth in housing debt has been outpacing the slow growth in household incomes for some time. To address the medium-term risks associated with high and rising household indebtedness, APRA has introduced a number of supervisory measures. Following some tightening in credit conditions, growth in borrowing by investors has slowed a little recently. In the housing market, conditions continue to vary considerably around the country. Housing prices have been rising briskly in some markets, while in others they have been declining. In Sydney, where prices have increased significantly, there have been further signs that conditions are easing. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases remain low in most cities.
The low level of interest rates is continuing to support the Australian economy. Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-09-05,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-18
Date
5 September 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy are continuing to improve. Labour markets have tightened further and above-trend growth is expected in a number of advanced economies, although uncertainties remain. Growth in the Chinese economy is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. Commodity prices have risen recently, although Australia's terms of trade are still expected to decline over coming years.
Wage growth remains low in most countries, as does core inflation. Headline inflation rates have declined recently, largely reflecting the earlier decline in oil prices. In the United States, the Federal Reserve expects to increase interest rates further and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively and volatility remains low.
The recent data have been consistent with the Bank's expectation that growth in the Australian economy will gradually pick up over the coming year. The decline in mining investment will soon run its course. The outlook for non-mining investment has improved recently and reported business conditions are at a high level. Residential construction activity remains at a high level, but little further growth is expected. Retail sales have picked up recently, although slow growth in real wages and high levels of household debt are likely to constrain future growth in spending.
Employment growth has been stronger over recent months and has increased in all states. The various forward-looking indicators point to solid growth in employment over the period ahead. The unemployment rate is expected to decline a little over the next couple of years.
Wage growth remains low. This is likely to continue for a while yet, although stronger conditions in the labour market should see some lift in wages growth over time. Inflation also remains low and is expected to pick up gradually as the economy strengthens.
The Australian dollar has appreciated over recent months, partly reflecting a lower US dollar. The higher exchange rate is expected to contribute to the subdued price pressures in the economy. It is also weighing on the outlook for output and employment. An appreciating exchange rate would be expected to result in a slower pick-up in economic activity and inflation than currently forecast.
Conditions in the housing market continue to vary considerably around the country. Housing prices have been rising briskly in some markets, although there are signs that conditions are easing, especially in Sydney. In some other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases remain low in most cities. Investors in residential property are facing higher interest rates. There has also been some tightening of credit conditions following supervisory measures to address the risks associated with high and rising levels of household indebtedness. Growth in housing debt has been outpacing the slow growth in household incomes.
The low level of interest rates is continuing to support the Australian economy. Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-08-01,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-15
Date
1 August 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy are continuing to improve. Labour markets have tightened further and above-trend growth is expected in a number of advanced economies, although uncertainties remain. Growth in the Chinese economy has picked up a little and is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. Commodity prices have generally risen recently, although Australia's terms of trade are still expected to decline over the period ahead.
Wage growth remains subdued in most countries, as does core inflation. Headline inflation rates have declined recently, largely reflecting the earlier decline in oil prices. In the United States, the Federal Reserve expects to increase interest rates further and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively and volatility remains low.
The Bank's forecasts for the Australian economy are largely unchanged. Over the next couple of years, the central forecast is for the economy to grow at an annual rate of around 3 per cent. The transition to lower levels of mining investment following the mining investment boom is almost complete, with some large LNG projects now close to completion. Business conditions have improved and capacity utilisation has increased. Some pick-up in non-mining business investment is expected. The current high level of residential construction is forecast to be maintained for some time, before gradually easing. One source of uncertainty for the domestic economy is the outlook for consumption. Retail sales have picked up recently, but slow growth in real wages and high levels of household debt are likely to constrain growth in spending.
Employment growth has been stronger over recent months, and has increased in all states. The various forward-looking indicators point to continued growth in employment over the period ahead. The unemployment rate is expected to decline a little over the next couple of years. Against this, however, wage growth remains low and this is likely to continue for a while yet.
The recent inflation data were broadly as the Bank expected. Both CPI inflation and measures of underlying inflation are running at a little under 2 per cent. Inflation is expected to pick up gradually as the economy strengthens. Higher prices for electricity and tobacco are expected to boost CPI inflation. A factor working in the other direction is increased competition from new entrants in the retail industry.
The Australian dollar has appreciated recently, partly reflecting a lower US dollar. The higher exchange rate is expected to contribute to subdued price pressures in the economy. It is also weighing on the outlook for output and employment. An appreciating exchange rate would be expected to result in a slower pick-up in economic activity and inflation than currently forecast.
Conditions in the housing market vary considerably around the country. Housing prices have been rising briskly in some markets, although there are some signs that these conditions are starting to ease. In some other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases remain low in most cities. Investors in residential property are facing higher interest rates. There has also been some tightening of credit conditions following recent supervisory measures to address the risks associated with high and rising levels of household indebtedness. Growth in housing debt has been outpacing the slow growth in household incomes.
The low level of interest rates is continuing to support the Australian economy. Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-07-04,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-13
Date
4 July 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
The broad-based pick-up in the global economy is continuing. Labour markets have tightened further in many countries and forecasts for global growth have been revised up since last year. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. The rise in commodity prices over the past year has boosted Australia's national income.
Headline inflation rates, having moved higher over the past year, have declined recently in response to lower oil prices. Wage growth remains subdued in most countries, as does core inflation. Further increases in US interest rates are expected and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively and volatility has been low.
As expected, GDP growth slowed in the March quarter, partly reflecting temporary factors. The Australian economy is expected to strengthen gradually, with the transition to lower levels of mining investment following the mining investment boom almost complete. Business conditions have improved and capacity utilisation has increased. Business investment has picked up in those parts of the country not directly affected by the decline in mining investment. At the same time, consumption growth remains subdued, reflecting slow growth in real wages and high levels of household debt.
Indicators of the labour market remain mixed. Employment growth has been stronger over recent months. The various forward-looking indicators point to continued growth in employment over the period ahead. Wage growth remains low, however, and this is likely to continue for a while yet. Inflation is expected to increase gradually as the economy strengthens.
The outlook continues to be supported by the low level of interest rates. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Conditions in the housing market vary considerably around the country. Housing prices have been rising briskly in some markets, although there are some signs that these conditions are starting to ease. In some other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases are the slowest for two decades. Growth in housing debt has outpaced the slow growth in household incomes. The recent supervisory measures should help address the risks associated with high and rising levels of household indebtedness. Lenders have also announced increases in mortgage rates for investor and interest-only loans.
Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 4 Jul 2017
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-06-06,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-12
Date
6 June 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
The broad-based pick-up in the global economy is continuing. Labour markets have tightened further in many countries and forecasts for global growth have been revised up since last year. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. Commodity prices are generally higher than they were a year ago, providing a boost to Australia's national income. The prices of iron ore and coal, however, have declined over recent months as expected, unwinding some of the earlier increases.
Headline inflation rates in most countries have moved higher over the past year, partly reflecting the higher commodity prices. Core inflation remains low, as do long-term bond yields. Further increases in US interest rates are expected over the year ahead and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively.
Domestically, the transition to lower levels of mining investment following the mining investment boom is almost complete. Business conditions have improved and capacity utilisation has increased. Business investment has picked up in those parts of the country not directly affected by the decline in mining investment. Year-ended GDP growth is expected to have slowed in the March quarter, reflecting the quarter-to-quarter variation in the growth figures. Looking forward, economic growth is still expected to increase gradually over the next couple of years to a little above 3 per cent.  
Indicators of the labour market remain mixed. Employment growth has been stronger over recent months, although growth in total hours worked remains weak. The various forward-looking indicators point to continued growth in employment over the period ahead. Wage growth remains low and this is likely to continue for a while yet. Inflation is expected to increase gradually as the economy strengthens. Slow growth in real wages is restraining growth in household consumption.
The outlook continues to be supported by the low level of interest rates. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Conditions in the housing market vary considerably around the country. Prices have been rising briskly in some markets, although there are some signs that these conditions are starting to ease. In other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases are the slowest for two decades. Growth in housing debt has outpaced the slow growth in household incomes. The recent supervisory measures should help address the risks associated with high and rising levels of indebtedness. Lenders have also announced increases in mortgage rates, particularly those paid by investors and on interest-only loans.
Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-05-02,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-09
Date
2 May 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
There has been a broad-based pick-up in the global economy since last year. Labour markets have tightened further in many countries and forecasts for global growth have been revised up. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth is being supported by increased spending on infrastructure and property construction, with the high level of debt continuing to present a medium-term risk. The improvement in the global economy has contributed to higher commodity prices, which are providing a significant boost to Australia's national income. Australia's terms of trade have increased, although some reversal of this is occurring.
Headline inflation rates have moved higher in most countries, partly reflecting the higher commodity prices. Core inflation remains low. Long-term bond yields are higher than last year, although in a historical context they remain low. Interest rates have increased in the United States and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively.
The Bank's forecasts for the Australian economy are little changed. Growth is expected to increase gradually over the next couple of years to a little above 3 per cent. The economy is continuing its transition following the end of the mining investment boom, with the drag from the decline in mining investment coming to an end and exports of resources picking up. Growth in consumption is expected to remain moderate and broadly in line with incomes. Non-mining investment remains low as a share of GDP and a stronger pick-up would be welcome.
Indicators of the labour market remain mixed. The unemployment rate has moved a little higher over recent months, but employment growth has been a little stronger. The various forward-looking indicators still point to continued growth in employment over the period ahead. The unemployment rate is expected to decline gradually over time. Wage growth remains slow and this is likely to remain the case for a while yet.
The outlook continues to be supported by the low level of interest rates. Lenders have announced increases in mortgage rates, particularly those paid by investors and on interest-only loans. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Inflation picked up to above 2 per cent in the March quarter in line with the Bank's expectations. In underlying terms, inflation is running at around 1¾ per cent, a little higher than last year. A gradual further increase in underlying inflation is expected as the economy strengthens.
Conditions in the housing market continue to vary considerably around the country. Prices have been rising briskly in some markets and declining in others. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Rent increases are the slowest for two decades. Growth in housing debt has outpaced the slow growth in household incomes. The recently announced supervisory measures should help address the risks associated with high and rising levels of indebtedness.
Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-04-04,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-07
Date
4 April 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy have improved over recent months. Both global trade and industrial production have picked up. Labour markets have tightened in many countries. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth is being supported by higher spending on infrastructure and property construction. This composition of growth and the rapid increase in borrowing mean that the medium-term risks to Chinese growth remain. The improvement in the global economy has contributed to higher commodity prices, which are providing a significant boost to Australia's national income.
Headline inflation rates have moved higher in most countries, partly reflecting the higher commodity prices. Core inflation remains low. Long-term bond yields are higher than last year, although in a historical context they remain low. Interest rates have increased in the United States and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively.
The Australian economy is continuing its transition following the end of the mining investment boom. Recent data are consistent with ongoing moderate growth. Most measures of business confidence are at, or above, average and non-mining business investment has risen over the past year. At the same time, some indicators of conditions in the labour market have softened recently. In particular, the unemployment rate has moved a little higher and employment growth is modest. The various forward-looking indicators still point to continued growth in employment over the period ahead. Wage growth remains slow.
The outlook continues to be supported by the low level of interest rates. Lenders have recently announced increases in mortgage rates, particularly those paid by investors. Financial institutions remain in a good position to lend. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Inflation remains quite low. Headline inflation is expected to pick up over the course of 2017 to be above 2 per cent. The rise in underlying inflation is expected to be a bit more gradual with growth in labour costs remaining subdued.
Conditions in the housing market continue to vary considerably around the country. In some markets, conditions are strong and prices are rising briskly. In other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Growth in rents is the slowest for two decades.
Growth in household borrowing, largely to purchase housing, continues to outpace growth in household income. By reinforcing strong lending standards, the recently announced supervisory measures should help address the risks associated with high and rising levels of indebtedness. Lenders need to ensure that the serviceability metrics that they use are appropriate for current conditions. A reduced reliance on interest-only housing loans in the Australian market would also be a positive development.
Taking account of the available information, the Board judged that holding the stance of monetary policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-03-07,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-06
Date
7 March 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy have continued to improve over recent months. Business and consumer confidence have both picked up. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth is being supported by higher spending on infrastructure and property construction. This composition of growth and the rapid increase in borrowing mean that the medium-term risks to Chinese growth remain. The improvement in the global economy has contributed to higher commodity prices, which are providing a significant boost to Australia's national income.
Headline inflation rates have moved higher in most countries, partly reflecting the higher commodity prices. Long-term bond yields are higher than last year, although in a historical context they remain low. Interest rates are expected to increase further in the United States and there is no longer an expectation of additional monetary easing in other major economies. Financial markets have been functioning effectively and stock markets have mostly risen.
The Australian economy is continuing its transition following the end of the mining investment boom, expanding by around 2½ per cent in 2016. Exports have risen strongly and non-mining business investment has risen over the past year. Most measures of business and consumer confidence are at, or above, average. Consumption growth was stronger towards the end of the year, although growth in household income remains low.
The outlook continues to be supported by the low level of interest rates. Financial institutions remain in a good position to lend. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Labour market indicators continue to be mixed and there is considerable variation in employment outcomes across the country. The unemployment rate has been steady at around 5¾ per cent over the past year, with employment growth concentrated in part-time jobs. The forward-looking indicators point to continued expansion in employment over the period ahead.
Inflation remains quite low. With growth in labour costs remaining subdued, underlying inflation is likely to stay low for some time. Headline inflation is expected to pick up over the course of 2017 to be above 2 per cent, with the rise in underlying inflation expected to be a bit more gradual.
Conditions in the housing market vary considerably around the country. In some markets, conditions are strong and prices are rising briskly. In other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Growth in rents is the slowest for two decades. Borrowing for housing by investors has picked up over recent months. Supervisory measures have contributed to some strengthening of lending standards.
Taking account of the available information the Board judged that holding the stance of policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
2017-02-07,"Media Release
Statement by Philip Lowe, Governor:
Monetary Policy Decision
Number
2017-02
Date
7 February 2017
At its meeting today, the Board decided to leave the cash rate unchanged at 1.50 per cent.
Conditions in the global economy have improved over recent months. Business and consumer confidence have both picked up. Above-trend growth is expected in a number of advanced economies, although uncertainties remain. In China, growth was stronger over the second half of 2016, supported by higher spending on infrastructure and property construction. This composition of growth and the rapid increase in borrowing mean that the medium-term risks to Chinese growth remain. The improvement in the global economy has contributed to higher commodity prices, which are providing a boost to Australia's national income.
Headline inflation rates have moved higher in most countries, partly reflecting the higher commodity prices. Long-term bond yields have also moved higher, although in a historical context they remain low. Interest rates have increased in the United States and there is no longer an expectation of further monetary easing in other major economies. Financial markets have been functioning effectively and stock markets have mostly risen.
In Australia, the economy is continuing its transition following the end of the mining investment boom. GDP was weaker than expected in the September quarter, largely reflecting temporary factors. A return to reasonable growth is expected in the December quarter.
The Bank's central scenario remains for economic growth to be around 3 per cent over the next couple of years. Growth will be boosted by further increases in resource exports and by the period of declining mining investment coming to an end. Consumption growth is expected to pick up from recent outcomes, but to remain moderate. Some further pick-up in non-mining business investment is also expected.
The outlook continues to be supported by the low level of interest rates. Financial institutions remain in a position to lend. The depreciation of the exchange rate since 2013 has also assisted the economy in its transition following the mining investment boom. An appreciating exchange rate would complicate this adjustment.
Labour market indicators continue to be mixed and there is considerable variation in employment outcomes across the country. The unemployment rate has moved a little higher recently, but growth in full-time employment turned positive late in 2016. The forward-looking indicators point to continued expansion in employment over the period ahead.
Inflation remains quite low. The December quarter outcome was as expected, with both headline and underlying inflation of around 1½ per cent. The Bank's inflation forecasts are largely unchanged. The continuing subdued growth in labour costs means that inflation is expected to remain low for some time. Headline inflation is expected to pick up over the course of 2017 to be above 2 per cent, with the rise in underlying inflation expected to be a bit more gradual.
Conditions in the housing market vary considerably around the country. In some markets, conditions have strengthened further and prices are rising briskly. In other markets, prices are declining. In the eastern capital cities, a considerable additional supply of apartments is scheduled to come on stream over the next couple of years. Growth in rents is the slowest for a couple of decades. Borrowing for housing has picked up a little, with stronger demand by investors. With leverage increasing, supervisory measures have strengthened lending standards and some lenders are taking a more cautious attitude to lending in certain segments.
Taking account of the available information, and having eased monetary policy in 2016, the Board judged that holding the stance of policy unchanged at this meeting would be consistent with sustainable growth in the economy and achieving the inflation target over time.
Enquiries
Media and Communications
Secretary's Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
Email: rbainfo@rba.gov.au
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",1.50
